station number Kevin's system,catch
1,1017.19824
2,1084.047791
3,275.3362918
4,759.0051156
5,553.4138212
6,1536.14583
7,2015.055442
8,515.4626411
9,642.331075
10,488.5316159
11,536.1076949
12,700.9509767
13,1255.740972
14,982.5606198
15,1736.162636
16,3238.525217
17,1273.982706
18,250.1634626
19,824.5660485
20,190.9372648
21,339.7010208
22,346.6969133
23,902.0272432
24,333.8803335
25,107.2558099
26,183.195915
27,495.2605049
28,693.8973472
29,1299.840191
30,769.3906172
31,112.7763315
32,1751.967717
33,262.763683
34,445.9367401
35,117.9913689
36,45.70197135
37,25.66169206
38,318.2562078
39,357.5473184
40,253.528367
41,201.1343527
42,781.5167694
43,1069.534513
44,536.2650615
45,305.9229582
46,273.3170013
47,205.8293532
48,538.6119372
49,406.1673114
50,342.4138079
51,566.3762847
52,90.39328988
53,42.68905971
54,161.6125044
55,151.6621941
56,143.1094409
57,147.585955
58,314.5535772
59,359.7396756
60,224.1144016
61,260.388302
62,136.2351367
63,167.8319781
64,626.086294
65,684.2025351
66,672.5057186
67,1239.503704
68,638.1832991
69,2236.615041
70,1068.495095
71,368.1636379
72,643.3143165
73,682.8599994
74,560.8905492
75,198.9532926
76,1729.847755
77,141.2601193
78,448.3730397
79,551.052169
80,1259.22696
81,308.608721
82,377.4709295
83,405.4639456
84,262.897294
85,63.28117768
86,404.6647239
87,574.505297
88,644.6938721
89,342.3183671
90,505.0377436
91,1468.527159
92,429.7056247
93,299.079941
94,459.4934954
95,652.7563508
96,2466.065553
97,1121.851501
98,469.4136789
99,380.2033291
100,695.5689066
101,460.8591502
102,639.8406736
103,553.3606352
104,566.9930695
105,210.2522972
106,135.9224135
107,957.6216871
108,422.3657228
109,447.1749394
110,2967.898309
111,421.4292873
112,179.4682066
113,164.8128529
114,372.311998
115,558.9587343
116,228.5451699
117,180.6555014
118,381.8921192
119,512.3610936
120,191.3413348
121,177.0040499
122,1082.620113
123,188.7000453
124,1828.786067
125,2335.446263
126,1565.754586
127,1441.209035
128,237.4855788
129,716.9326414
130,427.7528161
131,3001.56799
132,842.5714474
133,2434.945427
134,1462.581532
135,149.1078847
136,647.6039043
137,760.2009949
138,316.8319794
139,1733.242506
140,1373.655781
141,199.6823955
142,741.4913481
143,470.469491
144,74.87048937
