station number Kevin's system,catch
1,1017.19824
2,1084.047791
3,275.3362918
4,759.0051156
5,553.4138212
6,467.760755778234
7,239.394339545854
8,515.4626411
9,642.331075
10,488.5316159
11,536.1076949
12,700.9509767
13,457.155446895635
14,982.5606198
15,841.77807549208
16,524.958352509872
17,1216.62879902111
18,250.1634626
19,824.5660485
20,190.9372648
21,339.7010208
22,346.6969133
23,902.0272432
24,333.8803335
25,107.2558099
26,183.195915
27,495.2605049
28,693.8973472
29,308.640191552403
30,769.3906172
31,112.7763315
32,1211.32969809957
33,262.763683
34,445.9367401
35,117.9913689
36,45.70197135
37,25.66169206
38,318.2562078
39,357.5473184
40,253.528367
41,201.1343527
42,781.5167694
43,1069.534513
44,536.2650615
45,305.9229582
46,273.3170013
47,205.8293532
48,538.6119372
49,406.1673114
50,342.4138079
51,566.3762847
52,90.39328988
53,42.68905971
54,161.6125044
55,151.6621941
56,143.1094409
57,147.585955
58,314.5535772
59,359.7396756
60,224.1144016
61,260.388302
62,136.2351367
63,167.8319781
64,626.086294
65,684.2025351
66,672.5057186
67,1239.503704
68,638.1832991
69,1125.70039999101
70,1068.495095
71,368.1636379
72,643.3143165
73,682.8599994
74,560.8905492
75,198.9532926
76,119.561081425589
77,141.2601193
78,448.3730397
79,551.052169
80,1055.94457444997
81,308.608721
82,377.4709295
83,405.4639456
84,262.897294
85,63.28117768
86,404.6647239
87,574.505297
88,644.6938721
89,342.3183671
90,505.0377436
91,264.213931362009
92,429.7056247
93,299.079941
94,459.4934954
95,652.7563508
96,877.112450270395
97,1121.851501
98,469.4136789
99,380.2033291
100,695.5689066
101,460.8591502
102,639.8406736
103,553.3606352
104,566.9930695
105,210.2522972
106,135.9224135
107,957.6216871
108,422.3657228
109,447.1749394
110,434.396890809958
111,421.4292873
112,179.4682066
113,164.8128529
114,372.311998
115,558.9587343
116,228.5451699
117,180.6555014
118,381.8921192
119,512.3610936
120,191.3413348
121,177.0040499
122,1082.620113
123,188.7000453
124,697.731034835724
125,541.943489506118
126,581.00915149913
127,354.99804280054
128,237.4855788
129,716.9326414
130,427.7528161
131,745.661559665028
132,842.5714474
133,864.462183383942
134,160.012923291087
135,149.1078847
136,647.6039043
137,760.2009949
138,316.8319794
139,446.880341334713
140,797.082485035525
141,199.6823955
