name,description,institute,latitude,longitude
1,Vestmannaeyjar,ISL,63.45,-20.26666667
13,Grindarvík,ISL,63.83333333333333,-22.41666667
17,Sandgerði,ISL,64.05,-22.73333333
27,Hafnarfjörður,ISL,64.06666666666666,-21.96666667
33,Reykjavík,ISL,64.15,-21.93333333
35,Akranes,ISL,64.31666666666666,-22.1
73,Ísafjörður,ISL,66.06666666666666,-23.11666667
89,Sauðárkrókur,ISL,65.75,-19.65
107,Akureyri,ISL,65.65,-18.08333333
115,Húsavík,ISL,66.05,-17.36666667
131,Seyðisfjörður,ISL,65.26666666666667,-14
135,Neskaupstaður,ISL,65.15,-13.7
149,Hornafjörður,ISL,64.23333333333333,-15.2
